[28/Sep/2025:02:59:36 +0000] - 200 200 - GET http saf.falchi.com.br "/vendor/livewire/livewire.js?id=90730a3b0e7144480175" [Client 172.18.0.1] [Length 47094] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/login"
[28/Sep/2025:03:00:03 +0000] - 303 303 - POST http saf.falchi.com.br "/login" [Client 172.18.0.1] [Length 394] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/login"
[28/Sep/2025:03:00:03 +0000] - 200 200 - GET http saf.falchi.com.br "/dashboard" [Client 172.18.0.1] [Length 12600] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/login"
[28/Sep/2025:03:00:04 +0000] - 200 200 - GET http saf.falchi.com.br "/api/market/status" [Client 172.18.0.1] [Length 238] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/dashboard"
[28/Sep/2025:03:01:26 +0000] - 200 200 - GET http saf.falchi.com.br "/Moedas/dashboard" [Client 172.18.0.1] [Length 8719] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "-"
[28/Sep/2025:03:01:26 +0000] - 200 200 - GET http saf.falchi.com.br "/vendor/livewire/livewire.js?id=90730a3b0e7144480175" [Client 172.18.0.1] [Length 47094] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/Moedas/dashboard"
[28/Sep/2025:03:01:26 +0000] - 200 200 - GET http saf.falchi.com.br "/api/market/status" [Client 172.18.0.1] [Length 239] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/Moedas/dashboard"
[28/Sep/2025:03:01:31 +0000] - 200 200 - GET http saf.falchi.com.br "/MoedasValores" [Client 172.18.0.1] [Length 13040] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/Moedas/dashboard"
[28/Sep/2025:03:01:32 +0000] - 200 200 - GET http saf.falchi.com.br "/api/market/status" [Client 172.18.0.1] [Length 239] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/MoedasValores"
[28/Sep/2025:03:02:38 +0000] - - 499 - POST http saf.falchi.com.br "/Moedas/consultar-valor" [Client 172.18.0.1] [Length 0] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.7 Mobile/15E148 Safari/604.1" "http://saf.falchi.com.br/MoedasValores"
